NCBI GeneID	Symbol	Description	Taxonomic Name	Common Name	Gene Type	Gene Group Identifier	Gene Group Method
947170	recA	DNA recombination/repair protein RecA	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948466	rrsB	16S ribosomal RNA	Escherichia coli str. K-12 substr. MG1655		rRNA		
948217	dnaA	chromosomal replication initiator protein DnaA	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947777	rrsD	16S ribosomal RNA	Escherichia coli str. K-12 substr. MG1655		rRNA		
944897	rrsH	16S ribosomal RNA	Escherichia coli str. K-12 substr. MG1655		rRNA		
947071	rrsG	16S ribosomal RNA	Escherichia coli str. K-12 substr. MG1655		rRNA		
948511	rrsE	16S ribosomal RNA	Escherichia coli str. K-12 substr. MG1655		rRNA		
948270	rrsC	16S ribosomal RNA	Escherichia coli str. K-12 substr. MG1655		rRNA		
947867	crp	DNA-binding transcriptional dual regulator CRP	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947634	rnpB	ncRNA	Escherichia coli str. K-12 substr. MG1655		ncRNA		
944786	ftsZ	cell division protein FtsZ	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947567	rpoD	RNA polymerase sigma factor RpoD	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
944750	dnaK	chaperone protein DnaK	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948488	rpoB	RNA polymerase subunit beta	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947210	rpoS	RNA polymerase sigma factor RpoS	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948297	rho	transcription termination factor Rho	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
945829	hns	DNA-binding transcriptional dual regulator H-NS	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948473	rrlB	23S ribosomal RNA	Escherichia coli str. K-12 substr. MG1655		rRNA		
945006	lacZ	beta-galactosidase	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
944821	secA	protein translocation ATPase	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947585	rrlG	23S ribosomal RNA	Escherichia coli str. K-12 substr. MG1655		rRNA		
945641	rne	ribonuclease E	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948509	rrlE	23S ribosomal RNA	Escherichia coli str. K-12 substr. MG1655		rRNA		
948665	groL	chaperonin GroEL	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947773	rrlD	23S ribosomal RNA	Escherichia coli str. K-12 substr. MG1655		rRNA		
944900	rrlH	23S ribosomal RNA	Escherichia coli str. K-12 substr. MG1655		rRNA		
948268	rrlC	23S ribosomal RNA	Escherichia coli str. K-12 substr. MG1655		rRNA		
949083	lacY	lactose permease	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948555	dnaB	replicative DNA helicase	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947794	rpoA	RNA polymerase subunit alpha	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948487	rpoC	RNA polymerase subunit beta'	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947787	mscL	large conductance mechanosensitive channel	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
944790	folA	dihydrofolate reductase	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948356	polA	DNA polymerase I	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
945053	ssrA	ncRNA	Escherichia coli str. K-12 substr. MG1655		ncRNA		
948215	rnpA	RNase P protein component	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
945007	lacI	DNA-binding transcriptional repressor LacI	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
945554	ompF	outer membrane porin F	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948689	hfq	RNA-binding protein Hfq	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947521	tolC	outer membrane channel TolC	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
945085	lon	Lon protease	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948211	gyrB	DNA gyrase subunit B	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947033	rnc	RNase III	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
945571	ompA	outer membrane protein A	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
946614	gyrA	DNA gyrase subunit A	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948289	trxA	thioredoxin 1	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948538	malE	maltose ABC transporter periplasmic binding protein	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947838	tufA	translation elongation factor Tu 1	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
945908	fnr	DNA-binding transcriptional dual regulator FNR	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
946955	rnhA	ribonuclease HI	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
946393	cheY	chemotaxis protein CheY	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947206	mutS	DNA mismatch repair protein MutS	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
945108	acrB	multidrug efflux pump RND permease AcrB	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947799	secY	Sec translocon subunit SecY	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948655	groS	cochaperonin GroES	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948482	tufB	translation elongation factor Tu 2	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
946879	ptsI	PTS enzyme I	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
947697	fis	DNA-binding transcriptional dual regulator Fis	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
948570	ssb	ssDNA-binding protein	Escherichia coli str. K-12 substr. MG1655		PROTEIN_CODING		
